,Tweet,Sarcasm (yes/no)
1190,Can't wait for more of artists.,yes
1191,I just love when vegetarians happens.,yes
1192,"Oh great, another the meal. Just what I needed.",yes
1193,"Everyone loves the concert, right?",yes
1194,"Had a my new phone, best experience ever. Not.",yes
1195,"scientists are so wonderful, said no one ever.",yes
1196,"Everyone loves the concert, right?",yes
1197,I genuinely love the conference.,no
1198,"Everyone loves scientists, right?",yes
1199,engineers are truly inspiring.,no
1200,"engineers are so wonderful, said no one ever.",yes
1201,"Had a vegetarians, best experience ever. Not.",yes
1202,"scientists are so wonderful, said no one ever.",yes
1203,"Oh great, another writers. Just what I needed.",yes
1204,artists are genuinely amazing.,no
1205,I genuinely love artists.,no
1206,the concert are truly inspiring.,no
1207,Had a great time with this book.,no
1208,Nothing better than a the conference moment.,yes
1209,Had a great time with the conference.,no
1210,Nothing better than a vegetarians moment.,yes
1211,"Oh great, another scientists. Just what I needed.",yes
1212,Had a great time with musicians.,no
1213,"the meal are so wonderful, said no one ever.",yes
1214,Nothing better than a this book moment.,yes
1215,I find my new phone to be wonderful.,no
1216,"Had a musicians, best experience ever. Not.",yes
1217,I find vegetarians to be wonderful.,no
1218,Nothing better than a musicians moment.,yes
1219,I just love when this movie happens.,yes
1220,Because musicians really make everything better.,yes
1221,"Oh great, another writers. Just what I needed.",yes
1222,I am always excited for engineers.,no
1223,I genuinely love artists.,no
1224,Can't wait for more of writers.,no
1225,"Had a the meal, best experience ever. Not.",yes
1226,Nothing better than a the workshop moment.,yes
1227,Can't wait for more of the meal.,yes
1228,Had a great time with engineers.,no
1229,Can't wait for more of doctors.,yes
1230,I am always excited for the conference.,no
1231,Because athletes really make everything better.,yes
1232,"Oh great, another the workshop. Just what I needed.",yes
1233,the conference are truly inspiring.,no
1234,"the game are so wonderful, said no one ever.",yes
1235,Because the workshop really make everything better.,yes
1236,I am always excited for writers.,no
1237,"Had a doctors, best experience ever. Not.",yes
1238,"Had a my new phone, best experience ever. Not.",yes
1239,Nothing better than a athletes moment.,yes
1240,I am always excited for the concert.,no
1241,scientists are genuinely amazing.,no
1242,I just love when artists happens.,yes
1243,the meal are truly inspiring.,no
1244,Nothing better than a athletes moment.,yes
1245,Because the concert really make everything better.,yes
1246,artists have always been great.,no
1247,I genuinely love this movie.,no
1248,athletes are truly inspiring.,no
1249,"Had a my new phone, best experience ever. Not.",yes
1250,Nothing better than a the conference moment.,yes
1251,"Had a the workshop, best experience ever. Not.",yes
1252,Because artists really make everything better.,yes
1253,I just love when athletes happens.,yes
1254,I genuinely love my new phone.,no
1255,Can't wait for more of the game.,no
1256,"Oh great, another doctors. Just what I needed.",yes
1257,Can't wait for more of the concert.,no
1258,"Everyone loves the game, right?",yes
1259,I find vegetarians to be wonderful.,no
1260,"the workshop are so wonderful, said no one ever.",yes
1261,Had a great time with the conference.,no
1262,"Had a vegetarians, best experience ever. Not.",yes
1263,I genuinely love doctors.,no
1264,scientists have always been great.,no
1265,"the meal are so wonderful, said no one ever.",yes
1266,the conference have always been great.,no
1267,"Everyone loves doctors, right?",yes
1268,Nothing better than a the concert moment.,yes
1269,I find the conference to be wonderful.,no
1270,I genuinely love artists.,no
1271,the meal have always been great.,no
1272,"Everyone loves my new phone, right?",yes
1273,I genuinely love writers.,no
1274,Because the workshop really make everything better.,yes
1275,the concert are truly inspiring.,no
1276,Nothing better than a this book moment.,yes
1277,the meal are truly inspiring.,no
1278,I am always excited for the conference.,no
1279,Can't wait for more of this movie.,yes
1280,"Oh great, another the concert. Just what I needed.",yes
1281,"Everyone loves the workshop, right?",yes
1282,"Had a this movie, best experience ever. Not.",yes
1283,the workshop have always been great.,no
1284,artists are truly inspiring.,no
1285,Can't wait for more of musicians.,no
1286,artists are genuinely amazing.,no
1287,I find my new phone to be wonderful.,no
1288,I just love when the concert happens.,yes
1289,Nothing better than a scientists moment.,yes
1290,vegetarians are truly inspiring.,no
1291,Because writers really make everything better.,yes
1292,I just love when the workshop happens.,yes
1293,"Oh great, another engineers. Just what I needed.",yes
1294,I find doctors to be wonderful.,no
1295,"the concert are so wonderful, said no one ever.",yes
1296,this book are truly inspiring.,no
1297,my new phone are genuinely amazing.,no
1298,"musicians are so wonderful, said no one ever.",yes
1299,Had a great time with engineers.,no
1300,the workshop are genuinely amazing.,no
1301,Nothing better than a artists moment.,yes
1302,doctors are truly inspiring.,no
1303,I genuinely love the concert.,no
1304,Nothing better than a the workshop moment.,yes
1305,Because athletes really make everything better.,yes
1306,"artists are so wonderful, said no one ever.",yes
1307,the meal are genuinely amazing.,no
1308,I am always excited for this movie.,no
1309,Can't wait for more of the concert.,yes
1310,this movie have always been great.,no
1311,"Oh great, another this movie. Just what I needed.",yes
1312,Nothing better than a the conference moment.,yes
1313,I genuinely love my new phone.,no
1314,"Had a the game, best experience ever. Not.",yes
1315,the workshop are genuinely amazing.,no
1316,engineers have always been great.,no
1317,"artists are so wonderful, said no one ever.",yes
1318,I genuinely love musicians.,no
1319,this book are truly inspiring.,no
1320,I find musicians to be wonderful.,no
1321,"Everyone loves the meal, right?",yes
1322,"Everyone loves writers, right?",yes
1323,"Everyone loves this movie, right?",yes
1324,the concert have always been great.,no
1325,I find the concert to be wonderful.,no
1326,I am always excited for the game.,no
1327,Had a great time with musicians.,no
1328,Nothing better than a musicians moment.,yes
1329,Had a great time with engineers.,no
1330,this book are genuinely amazing.,no
1331,I find athletes to be wonderful.,no
1332,I am always excited for athletes.,no
1333,Can't wait for more of doctors.,no
1334,I find scientists to be wonderful.,no
1335,Nothing better than a this book moment.,yes
1336,Can't wait for more of artists.,yes
1337,I am always excited for the conference.,no
1338,"Oh great, another this book. Just what I needed.",yes
1339,"my new phone are so wonderful, said no one ever.",yes
1340,Nothing better than a athletes moment.,yes
1341,"engineers are so wonderful, said no one ever.",yes
1342,I genuinely love this movie.,no
1343,vegetarians are truly inspiring.,no
1344,Can't wait for more of the conference.,yes
1345,I am always excited for my new phone.,no
1346,Can't wait for more of musicians.,yes
1347,"Everyone loves the workshop, right?",yes
1348,Had a great time with artists.,no
1349,I just love when the workshop happens.,yes
1350,I genuinely love the meal.,no
1351,"the workshop are so wonderful, said no one ever.",yes
1352,I genuinely love engineers.,no
1353,"Oh great, another musicians. Just what I needed.",yes
1354,I genuinely love scientists.,no
1355,I am always excited for scientists.,no
1356,"the meal are so wonderful, said no one ever.",yes
1357,I am always excited for the game.,no
1358,engineers are genuinely amazing.,no
1359,vegetarians are genuinely amazing.,no
1360,vegetarians have always been great.,no
1361,"Oh great, another doctors. Just what I needed.",yes
1362,"the conference are so wonderful, said no one ever.",yes
1363,Can't wait for more of the game.,yes
1364,I am always excited for the meal.,no
1365,Had a great time with artists.,no
1366,I just love when doctors happens.,yes
1367,doctors are genuinely amazing.,no
1368,Nothing better than a the meal moment.,yes
1369,Had a great time with vegetarians.,no
1370,vegetarians have always been great.,no
1371,I find doctors to be wonderful.,no
1372,"Had a the concert, best experience ever. Not.",yes
1373,"athletes are so wonderful, said no one ever.",yes
1374,"Everyone loves the concert, right?",yes
1375,"Had a engineers, best experience ever. Not.",yes
1376,Can't wait for more of this movie.,no
1377,"Had a the meal, best experience ever. Not.",yes
1378,"Everyone loves this book, right?",yes
1379,I find artists to be wonderful.,no
1380,I just love when vegetarians happens.,yes
1381,"the conference are so wonderful, said no one ever.",yes
1382,Had a great time with athletes.,no
1383,Because the game really make everything better.,yes
1384,I just love when this movie happens.,yes
1385,"Had a the conference, best experience ever. Not.",yes
1386,I genuinely love artists.,no
1387,"Everyone loves the concert, right?",yes
1388,"Everyone loves this movie, right?",yes
1389,"Had a the meal, best experience ever. Not.",yes
1390,I genuinely love the meal.,no
1391,I genuinely love the concert.,no
1392,Because the concert really make everything better.,yes
1393,the concert are genuinely amazing.,no
1394,Had a great time with the workshop.,no
1395,"Had a doctors, best experience ever. Not.",yes
1396,Because engineers really make everything better.,yes
1397,I genuinely love this book.,no
1398,I am always excited for this book.,no
1399,I am always excited for the concert.,no
1400,engineers have always been great.,no
1401,writers are truly inspiring.,no
1402,Can't wait for more of scientists.,yes
1403,I am always excited for athletes.,no
1404,Can't wait for more of doctors.,yes
1405,I just love when this book happens.,yes
1406,I am always excited for my new phone.,no
1407,engineers are truly inspiring.,no
1408,Can't wait for more of this book.,no
1409,"the conference are so wonderful, said no one ever.",yes
1410,Had a great time with vegetarians.,no
1411,Can't wait for more of doctors.,yes
1412,vegetarians are genuinely amazing.,no
1413,"the conference are so wonderful, said no one ever.",yes
1414,Can't wait for more of doctors.,no
1415,the workshop are truly inspiring.,no
1416,artists are truly inspiring.,no
1417,Because artists really make everything better.,yes
1418,vegetarians are genuinely amazing.,no
1419,I am always excited for this book.,no
1420,I just love when athletes happens.,yes
1421,Nothing better than a my new phone moment.,yes
1422,I am always excited for scientists.,no
1423,I find athletes to be wonderful.,no
1424,the workshop are truly inspiring.,no
1425,Because this movie really make everything better.,yes
1426,Because the meal really make everything better.,yes
1427,I genuinely love athletes.,no
1428,the game are truly inspiring.,no
1429,I am always excited for athletes.,no
1430,Had a great time with vegetarians.,no
1431,"doctors are so wonderful, said no one ever.",yes
1432,Can't wait for more of writers.,yes
1433,Nothing better than a the meal moment.,yes
1434,Can't wait for more of doctors.,yes
1435,I am always excited for the conference.,no
1436,"Everyone loves engineers, right?",yes
1437,I genuinely love artists.,no
1438,"writers are so wonderful, said no one ever.",yes
1439,I genuinely love vegetarians.,no
1440,Because writers really make everything better.,yes
1441,I just love when this movie happens.,yes
1442,Because musicians really make everything better.,yes
1443,"Had a athletes, best experience ever. Not.",yes
1444,doctors are genuinely amazing.,no
1445,I find this book to be wonderful.,no
1446,I find engineers to be wonderful.,no
1447,Had a great time with athletes.,no
1448,"scientists are so wonderful, said no one ever.",yes
1449,"Oh great, another the game. Just what I needed.",yes
1450,Can't wait for more of writers.,yes
1451,Can't wait for more of writers.,yes
1452,doctors are genuinely amazing.,no
1453,I genuinely love the concert.,no
1454,Nothing better than a writers moment.,yes
1455,Because engineers really make everything better.,yes
1456,Had a great time with athletes.,no
1457,"Oh great, another the concert. Just what I needed.",yes
1458,"Everyone loves doctors, right?",yes
1459,musicians are genuinely amazing.,no
1460,the conference are genuinely amazing.,no
1461,I am always excited for artists.,no
1462,"Everyone loves vegetarians, right?",yes
1463,I just love when the workshop happens.,yes
1464,writers are truly inspiring.,no
1465,the concert are genuinely amazing.,no
1466,I am always excited for the workshop.,no
1467,I just love when the conference happens.,yes
1468,"Had a this book, best experience ever. Not.",yes
1469,Can't wait for more of athletes.,no
1470,"Oh great, another artists. Just what I needed.",yes
1471,"Had a engineers, best experience ever. Not.",yes
1472,Can't wait for more of the concert.,no
1473,Because my new phone really make everything better.,yes
1474,musicians are genuinely amazing.,no
1475,Nothing better than a engineers moment.,yes
1476,I find the concert to be wonderful.,no
1477,Had a great time with this book.,no
1478,I find the game to be wonderful.,no
1479,engineers have always been great.,no
1480,I find my new phone to be wonderful.,no
1481,Nothing better than a the conference moment.,yes
1482,"Had a engineers, best experience ever. Not.",yes
1483,musicians have always been great.,no
1484,Can't wait for more of the concert.,no
1485,I just love when this book happens.,yes
1486,Because scientists really make everything better.,yes
1487,Had a great time with vegetarians.,no
1488,"the concert are so wonderful, said no one ever.",yes
1489,the conference are genuinely amazing.,no
1490,"Had a the meal, best experience ever. Not.",yes
1491,artists are genuinely amazing.,no
1492,Nothing better than a the workshop moment.,yes
1493,"the concert are so wonderful, said no one ever.",yes
1494,the concert are truly inspiring.,no
1495,"Everyone loves the concert, right?",yes
1496,Because this movie really make everything better.,yes
1497,this movie are truly inspiring.,no
1498,athletes are truly inspiring.,no
1499,"Oh great, another scientists. Just what I needed.",yes
1500,I genuinely love musicians.,no
1501,Nothing better than a doctors moment.,yes
1502,Because writers really make everything better.,yes
1503,the game are genuinely amazing.,no
1504,I just love when musicians happens.,yes
1505,athletes are genuinely amazing.,no
1506,I just love when vegetarians happens.,yes
1507,scientists have always been great.,no
1508,Can't wait for more of engineers.,no
1509,Can't wait for more of vegetarians.,yes
1510,Nothing better than a doctors moment.,yes
1511,Because the game really make everything better.,yes
1512,I am always excited for the conference.,no
1513,I am always excited for engineers.,no
1514,"musicians are so wonderful, said no one ever.",yes
1515,"Had a the conference, best experience ever. Not.",yes
1516,I find athletes to be wonderful.,no
1517,"Had a the game, best experience ever. Not.",yes
1518,"artists are so wonderful, said no one ever.",yes
1519,I am always excited for the workshop.,no
1520,I am always excited for the conference.,no
1521,"Everyone loves the workshop, right?",yes
1522,scientists are truly inspiring.,no
1523,I genuinely love the meal.,no
1524,vegetarians have always been great.,no
1525,I genuinely love this book.,no
1526,I am always excited for the concert.,no
1527,I find writers to be wonderful.,no
1528,this movie are genuinely amazing.,no
1529,engineers are truly inspiring.,no
1530,athletes are genuinely amazing.,no
1531,Had a great time with the game.,no
1532,I just love when artists happens.,yes
1533,I genuinely love engineers.,no
1534,"Oh great, another athletes. Just what I needed.",yes
1535,Can't wait for more of my new phone.,yes
1536,Had a great time with the meal.,no
1537,"Oh great, another doctors. Just what I needed.",yes
1538,I just love when the workshop happens.,yes
1539,Had a great time with artists.,no
1540,I genuinely love athletes.,no
1541,athletes are genuinely amazing.,no
1542,"Oh great, another scientists. Just what I needed.",yes
1543,Can't wait for more of the workshop.,no
1544,I genuinely love writers.,no
1545,"my new phone are so wonderful, said no one ever.",yes
1546,scientists are genuinely amazing.,no
1547,"vegetarians are so wonderful, said no one ever.",yes
1548,Can't wait for more of writers.,yes
1549,Had a great time with scientists.,no
1550,the concert are truly inspiring.,no
1551,I find engineers to be wonderful.,no
1552,this book are genuinely amazing.,no
1553,Because my new phone really make everything better.,yes
1554,I am always excited for vegetarians.,no
1555,I find scientists to be wonderful.,no
1556,"Had a my new phone, best experience ever. Not.",yes
1557,the concert are truly inspiring.,no
1558,Can't wait for more of vegetarians.,yes
1559,"Had a the concert, best experience ever. Not.",yes
1560,scientists are genuinely amazing.,no
1561,"Had a vegetarians, best experience ever. Not.",yes
1562,the concert are genuinely amazing.,no
1563,Can't wait for more of my new phone.,yes
1564,"the conference are so wonderful, said no one ever.",yes
1565,I find my new phone to be wonderful.,no
1566,"Had a doctors, best experience ever. Not.",yes
1567,"Everyone loves musicians, right?",yes
1568,"Had a the game, best experience ever. Not.",yes
1569,my new phone are truly inspiring.,no
1570,Can't wait for more of the workshop.,yes
1571,"Oh great, another scientists. Just what I needed.",yes
1572,"Everyone loves vegetarians, right?",yes
1573,artists are genuinely amazing.,no
1574,Can't wait for more of this book.,yes
1575,I find my new phone to be wonderful.,no
1576,Can't wait for more of the meal.,yes
1577,Can't wait for more of the game.,no
1578,"Everyone loves the game, right?",yes
1579,doctors are truly inspiring.,no
1580,"Everyone loves writers, right?",yes
1581,scientists are genuinely amazing.,no
1582,doctors are truly inspiring.,no
1583,I am always excited for scientists.,no
1584,"Oh great, another the meal. Just what I needed.",yes
1585,"Everyone loves the meal, right?",yes
1586,musicians are genuinely amazing.,no
1587,I just love when engineers happens.,yes
1588,doctors have always been great.,no
1589,Can't wait for more of my new phone.,no
1590,"Everyone loves this book, right?",yes
1591,engineers are truly inspiring.,no
1592,Can't wait for more of this book.,no
1593,doctors are truly inspiring.,no
1594,Nothing better than a the meal moment.,yes
1595,"Everyone loves writers, right?",yes
1596,"Oh great, another artists. Just what I needed.",yes
1597,"Everyone loves athletes, right?",yes
1598,I just love when the game happens.,yes
1599,I genuinely love the conference.,no
1600,engineers are genuinely amazing.,no
1601,"Everyone loves this book, right?",yes
1602,this book are genuinely amazing.,no
1603,"Oh great, another writers. Just what I needed.",yes
1604,Can't wait for more of this movie.,yes
1605,Can't wait for more of doctors.,no
1606,"Had a the workshop, best experience ever. Not.",yes
1607,"Oh great, another the workshop. Just what I needed.",yes
1608,artists are genuinely amazing.,no
1609,"Had a athletes, best experience ever. Not.",yes
1610,I am always excited for the game.,no
1611,Can't wait for more of writers.,no
1612,this book are genuinely amazing.,no
1613,the concert are genuinely amazing.,no
1614,Nothing better than a this movie moment.,yes
1615,"this book are so wonderful, said no one ever.",yes
1616,Can't wait for more of my new phone.,yes
1617,Can't wait for more of writers.,no
1618,Nothing better than a musicians moment.,yes
1619,"Oh great, another my new phone. Just what I needed.",yes
1620,Can't wait for more of scientists.,yes
1621,"Had a the concert, best experience ever. Not.",yes
1622,Can't wait for more of musicians.,no
1623,Can't wait for more of athletes.,yes
1624,I genuinely love the concert.,no
1625,"this movie are so wonderful, said no one ever.",yes
1626,I am always excited for this book.,no
1627,the game are truly inspiring.,no
1628,"Had a my new phone, best experience ever. Not.",yes
1629,Can't wait for more of the meal.,no
1630,I just love when athletes happens.,yes
1631,Can't wait for more of the conference.,no
1632,Can't wait for more of the workshop.,no
1633,Can't wait for more of writers.,no
1634,I just love when my new phone happens.,yes
1635,doctors have always been great.,no
1636,"Had a scientists, best experience ever. Not.",yes
1637,I am always excited for musicians.,no
1638,Can't wait for more of vegetarians.,yes
1639,Can't wait for more of the game.,yes
1640,I find the conference to be wonderful.,no
1641,Had a great time with the workshop.,no
1642,I just love when doctors happens.,yes
1643,this book are truly inspiring.,no
1644,"Had a doctors, best experience ever. Not.",yes
1645,musicians have always been great.,no
1646,I am always excited for the concert.,no
1647,I genuinely love my new phone.,no
1648,"writers are so wonderful, said no one ever.",yes
1649,Can't wait for more of the meal.,yes
1650,I find vegetarians to be wonderful.,no
1651,Nothing better than a the game moment.,yes
1652,Can't wait for more of artists.,no
1653,"Had a the concert, best experience ever. Not.",yes
1654,I genuinely love the concert.,no
1655,artists are truly inspiring.,no
1656,Can't wait for more of musicians.,yes
1657,the game are truly inspiring.,no
1658,I am always excited for scientists.,no
1659,I am always excited for my new phone.,no
1660,Because this book really make everything better.,yes
1661,I genuinely love athletes.,no
1662,scientists are genuinely amazing.,no
1663,writers have always been great.,no
1664,Because artists really make everything better.,yes
1665,I find writers to be wonderful.,no
1666,Had a great time with doctors.,no
1667,I just love when my new phone happens.,yes
1668,"Oh great, another my new phone. Just what I needed.",yes
1669,Can't wait for more of scientists.,no
1670,Nothing better than a musicians moment.,yes
1671,"Oh great, another athletes. Just what I needed.",yes
1672,Can't wait for more of the concert.,yes
1673,Can't wait for more of athletes.,no
1674,Nothing better than a this movie moment.,yes
1675,I find the workshop to be wonderful.,no
1676,I am always excited for athletes.,no
1677,"Oh great, another doctors. Just what I needed.",yes
1678,Nothing better than a the game moment.,yes
1679,engineers are genuinely amazing.,no
1680,artists have always been great.,no
1681,musicians have always been great.,no
1682,Had a great time with athletes.,no
1683,the meal are truly inspiring.,no
1684,I am always excited for athletes.,no
1685,I just love when engineers happens.,yes
1686,"this movie are so wonderful, said no one ever.",yes
1687,I am always excited for doctors.,no
1688,artists are genuinely amazing.,no
1689,"Had a this movie, best experience ever. Not.",yes
1690,Had a great time with the game.,no
1691,Had a great time with athletes.,no
1692,"Had a musicians, best experience ever. Not.",yes
1693,I just love when the workshop happens.,yes
1694,athletes have always been great.,no
1695,Can't wait for more of doctors.,yes
1696,Can't wait for more of doctors.,no
1697,"Oh great, another the game. Just what I needed.",yes
1698,"Had a vegetarians, best experience ever. Not.",yes
1699,Because the concert really make everything better.,yes
1700,the meal are genuinely amazing.,no
1701,Because the meal really make everything better.,yes
1702,"Had a the concert, best experience ever. Not.",yes
1703,Nothing better than a scientists moment.,yes
1704,Had a great time with vegetarians.,no
1705,scientists have always been great.,no
1706,I just love when my new phone happens.,yes
1707,I genuinely love athletes.,no
1708,musicians are truly inspiring.,no
1709,Had a great time with vegetarians.,no
1710,the meal are genuinely amazing.,no
1711,I just love when my new phone happens.,yes
1712,I am always excited for the workshop.,no
1713,Can't wait for more of scientists.,no
1714,Because this book really make everything better.,yes
1715,I genuinely love this book.,no
1716,Can't wait for more of doctors.,yes
1717,Can't wait for more of the game.,no
1718,the meal are truly inspiring.,no
1719,"Oh great, another the conference. Just what I needed.",yes
1720,my new phone have always been great.,no
1721,"Had a this book, best experience ever. Not.",yes
1722,I am always excited for this book.,no
1723,I find this movie to be wonderful.,no
1724,Had a great time with the conference.,no
1725,Because the workshop really make everything better.,yes
1726,I just love when artists happens.,yes
1727,artists are genuinely amazing.,no
1728,the workshop are genuinely amazing.,no
1729,I am always excited for musicians.,no
1730,"Had a athletes, best experience ever. Not.",yes
1731,Can't wait for more of this book.,yes
1732,scientists are truly inspiring.,no
1733,Can't wait for more of musicians.,no
1734,I just love when this book happens.,yes
1735,the conference are genuinely amazing.,no
1736,"my new phone are so wonderful, said no one ever.",yes
1737,artists are genuinely amazing.,no
1738,"Oh great, another this movie. Just what I needed.",yes
1739,Because the workshop really make everything better.,yes
1740,I just love when doctors happens.,yes
1741,"artists are so wonderful, said no one ever.",yes
1742,"Oh great, another writers. Just what I needed.",yes
1743,"Everyone loves this movie, right?",yes
1744,Because artists really make everything better.,yes
1745,"Oh great, another this movie. Just what I needed.",yes
1746,writers are genuinely amazing.,no
1747,"Oh great, another artists. Just what I needed.",yes
1748,the conference are truly inspiring.,no
1749,I just love when the game happens.,yes
1750,I genuinely love vegetarians.,no
1751,Because the game really make everything better.,yes
1752,"Everyone loves the conference, right?",yes
1753,the conference have always been great.,no
1754,Nothing better than a the concert moment.,yes
1755,"Everyone loves this book, right?",yes
1756,I am always excited for vegetarians.,no
1757,writers are truly inspiring.,no
1758,"Everyone loves engineers, right?",yes
1759,Nothing better than a the conference moment.,yes
1760,Can't wait for more of writers.,no
1761,Nothing better than a engineers moment.,yes
1762,I find doctors to be wonderful.,no
1763,Can't wait for more of vegetarians.,yes
1764,the conference have always been great.,no
1765,I just love when the workshop happens.,yes
1766,vegetarians are genuinely amazing.,no
1767,Can't wait for more of my new phone.,yes
1768,I genuinely love doctors.,no
1769,"my new phone are so wonderful, said no one ever.",yes
1770,I just love when vegetarians happens.,yes
1771,Had a great time with the meal.,no
1772,Nothing better than a doctors moment.,yes
1773,Can't wait for more of the workshop.,no
1774,Nothing better than a this book moment.,yes
1775,Can't wait for more of scientists.,yes
1776,I genuinely love the concert.,no
1777,Can't wait for more of the workshop.,no
1778,"Oh great, another vegetarians. Just what I needed.",yes
1779,I am always excited for the conference.,no
1780,"the workshop are so wonderful, said no one ever.",yes
1781,engineers are genuinely amazing.,no
1782,"Had a vegetarians, best experience ever. Not.",yes
1783,Nothing better than a the game moment.,yes
1784,Had a great time with vegetarians.,no
1785,Because the conference really make everything better.,yes
1786,"this movie are so wonderful, said no one ever.",yes
1787,"Everyone loves the game, right?",yes
1788,"doctors are so wonderful, said no one ever.",yes
1789,"Everyone loves athletes, right?",yes
1790,"Oh great, another musicians. Just what I needed.",yes
1791,"Everyone loves this book, right?",yes
1792,writers are genuinely amazing.,no
1793,engineers are genuinely amazing.,no
1794,"Had a the concert, best experience ever. Not.",yes
1795,the meal are genuinely amazing.,no
1796,"Everyone loves the workshop, right?",yes
1797,"musicians are so wonderful, said no one ever.",yes
1798,"Oh great, another the game. Just what I needed.",yes
1799,my new phone are genuinely amazing.,no
1800,"Had a musicians, best experience ever. Not.",yes
1801,"Had a artists, best experience ever. Not.",yes
1802,Can't wait for more of musicians.,no
1803,this book are truly inspiring.,no
1804,I genuinely love the meal.,no
1805,I am always excited for the conference.,no
1806,doctors are genuinely amazing.,no
1807,"Everyone loves musicians, right?",yes
1808,Can't wait for more of this movie.,yes
1809,"doctors are so wonderful, said no one ever.",yes
1810,I am always excited for the conference.,no
1811,I find the meal to be wonderful.,no
1812,musicians have always been great.,no
1813,"Had a artists, best experience ever. Not.",yes
1814,the concert are genuinely amazing.,no
1815,the conference are truly inspiring.,no
1816,"Oh great, another artists. Just what I needed.",yes
1817,athletes are genuinely amazing.,no
1818,Can't wait for more of artists.,yes
1819,the conference are genuinely amazing.,no
1820,artists have always been great.,no
1821,I find doctors to be wonderful.,no
1822,Had a great time with this movie.,no
1823,I am always excited for this book.,no
1824,"Had a this movie, best experience ever. Not.",yes
1825,the concert are genuinely amazing.,no
1826,I genuinely love the meal.,no
1827,I find writers to be wonderful.,no
1828,I just love when artists happens.,yes
1829,"Had a the meal, best experience ever. Not.",yes
1830,I genuinely love vegetarians.,no
1831,I just love when doctors happens.,yes
1832,Can't wait for more of doctors.,yes
1833,I am always excited for the workshop.,no
1834,Can't wait for more of the concert.,yes
1835,Can't wait for more of this book.,no
1836,"Oh great, another the conference. Just what I needed.",yes
1837,I genuinely love the conference.,no
1838,Because the concert really make everything better.,yes
1839,"Oh great, another this book. Just what I needed.",yes
1840,Because the workshop really make everything better.,yes
1841,Because scientists really make everything better.,yes
1842,"Had a the conference, best experience ever. Not.",yes
1843,this book are genuinely amazing.,no
1844,"Oh great, another artists. Just what I needed.",yes
1845,Because scientists really make everything better.,yes
1846,Nothing better than a artists moment.,yes
1847,I am always excited for musicians.,no
1848,the game are genuinely amazing.,no
1849,Can't wait for more of athletes.,yes
1850,"Everyone loves athletes, right?",yes
1851,"Oh great, another musicians. Just what I needed.",yes
1852,scientists are truly inspiring.,no
1853,Can't wait for more of the meal.,yes
1854,I am always excited for vegetarians.,no
1855,engineers are truly inspiring.,no
1856,musicians are genuinely amazing.,no
1857,I find the conference to be wonderful.,no
1858,writers are genuinely amazing.,no
1859,I genuinely love this movie.,no
1860,"vegetarians are so wonderful, said no one ever.",yes
1861,I genuinely love this movie.,no
1862,"Oh great, another vegetarians. Just what I needed.",yes
1863,Can't wait for more of the workshop.,no
1864,"vegetarians are so wonderful, said no one ever.",yes
1865,I find my new phone to be wonderful.,no
1866,I just love when engineers happens.,yes
1867,I find this movie to be wonderful.,no
1868,artists are truly inspiring.,no
1869,vegetarians have always been great.,no
1870,Nothing better than a musicians moment.,yes
1871,artists are genuinely amazing.,no
1872,the game are genuinely amazing.,no
1873,"the game are so wonderful, said no one ever.",yes
1874,Nothing better than a artists moment.,yes
1875,Nothing better than a doctors moment.,yes
1876,I just love when scientists happens.,yes
1877,Had a great time with musicians.,no
1878,I just love when the conference happens.,yes
1879,"Had a the meal, best experience ever. Not.",yes
1880,Can't wait for more of athletes.,no
1881,"doctors are so wonderful, said no one ever.",yes
1882,I am always excited for the conference.,no
1883,"Everyone loves the concert, right?",yes
1884,this book are genuinely amazing.,no
1885,I am always excited for artists.,no
1886,Had a great time with my new phone.,no
1887,writers are genuinely amazing.,no
1888,"writers are so wonderful, said no one ever.",yes
1889,"Oh great, another scientists. Just what I needed.",yes
1890,musicians have always been great.,no
1891,Nothing better than a artists moment.,yes
1892,Can't wait for more of this movie.,no
1893,the conference have always been great.,no
1894,I genuinely love artists.,no
1895,Because artists really make everything better.,yes
1896,Because the workshop really make everything better.,yes
1897,Nothing better than a scientists moment.,yes
1898,I just love when engineers happens.,yes
1899,Can't wait for more of engineers.,no
1900,"Everyone loves scientists, right?",yes
1901,I am always excited for athletes.,no
1902,Had a great time with the workshop.,no
1903,the conference are truly inspiring.,no
1904,musicians are truly inspiring.,no
1905,Nothing better than a engineers moment.,yes
1906,I am always excited for this movie.,no
1907,I am always excited for artists.,no
1908,athletes are genuinely amazing.,no
1909,"engineers are so wonderful, said no one ever.",yes
1910,I genuinely love my new phone.,no
1911,Because scientists really make everything better.,yes
1912,the meal are truly inspiring.,no
1913,Nothing better than a doctors moment.,yes
1914,Because my new phone really make everything better.,yes
1915,I genuinely love the game.,no
1916,I am always excited for vegetarians.,no
1917,I just love when doctors happens.,yes
1918,"artists are so wonderful, said no one ever.",yes
1919,Can't wait for more of artists.,no
1920,Because my new phone really make everything better.,yes
1921,Nothing better than a vegetarians moment.,yes
1922,"Everyone loves scientists, right?",yes
1923,Had a great time with artists.,no
1924,I find writers to be wonderful.,no
1925,Had a great time with the workshop.,no
1926,I am always excited for my new phone.,no
1927,Nothing better than a vegetarians moment.,yes
1928,Nothing better than a the concert moment.,yes
1929,"Had a artists, best experience ever. Not.",yes
